"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","51702  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000071","127.0.0.1","127.0.0.1","TCP","56","12000  >  51702 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000137","127.0.0.1","127.0.0.1","TCP","44","51702  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.000171","127.0.0.1","127.0.0.1","TCP","69","51702  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=25"
"5","0.000207","127.0.0.1","127.0.0.1","TCP","44","12000  >  51702 [ACK] Seq=1 Ack=26 Win=2619648 Len=0"
"6","0.000765","127.0.0.1","127.0.0.1","TCP","69","12000  >  51702 [PSH, ACK] Seq=1 Ack=26 Win=2619648 Len=25"
"7","0.000805","127.0.0.1","127.0.0.1","TCP","44","51702  >  12000 [ACK] Seq=26 Ack=26 Win=2619648 Len=0"
"8","0.001075","127.0.0.1","127.0.0.1","TCP","74","51702  >  12000 [PSH, ACK] Seq=26 Ack=26 Win=2619648 Len=30"
"9","0.001109","127.0.0.1","127.0.0.1","TCP","44","12000  >  51702 [ACK] Seq=26 Ack=56 Win=2619648 Len=0"
"10","0.001424","127.0.0.1","127.0.0.1","TCP","44","51702  >  12000 [FIN, ACK] Seq=56 Ack=26 Win=2619648 Len=0"
"11","0.001462","127.0.0.1","127.0.0.1","TCP","44","12000  >  51702 [ACK] Seq=26 Ack=57 Win=2619648 Len=0"
"12","10.007021","127.0.0.1","127.0.0.1","TCP","56","51703  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"13","10.007120","127.0.0.1","127.0.0.1","TCP","56","12000  >  51703 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"14","10.007189","127.0.0.1","127.0.0.1","TCP","44","51703  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"15","10.007217","127.0.0.1","127.0.0.1","TCP","54","51703  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=10"
"16","10.007240","127.0.0.1","127.0.0.1","TCP","44","12000  >  51703 [ACK] Seq=1 Ack=11 Win=2619648 Len=0"
"17","10.007423","127.0.0.1","127.0.0.1","TCP","44","12000  >  51702 [FIN, ACK] Seq=26 Ack=57 Win=2619648 Len=0"
"18","10.007462","127.0.0.1","127.0.0.1","TCP","44","51702  >  12000 [ACK] Seq=57 Ack=27 Win=2619648 Len=0"
"19","10.008430","127.0.0.1","127.0.0.1","TCP","54","12000  >  51703 [PSH, ACK] Seq=1 Ack=11 Win=2619648 Len=10"
"20","10.008474","127.0.0.1","127.0.0.1","TCP","44","51703  >  12000 [ACK] Seq=11 Ack=11 Win=2619648 Len=0"
"21","10.009017","127.0.0.1","127.0.0.1","TCP","59","51703  >  12000 [PSH, ACK] Seq=11 Ack=11 Win=2619648 Len=15"
"22","10.009058","127.0.0.1","127.0.0.1","TCP","44","12000  >  51703 [ACK] Seq=11 Ack=26 Win=2619648 Len=0"
"23","10.009703","127.0.0.1","127.0.0.1","TCP","44","51703  >  12000 [FIN, ACK] Seq=26 Ack=11 Win=2619648 Len=0"
"24","10.009741","127.0.0.1","127.0.0.1","TCP","44","12000  >  51703 [ACK] Seq=11 Ack=27 Win=2619648 Len=0"
"25","20.069227","127.0.0.1","127.0.0.1","TCP","56","51704  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"26","20.069320","127.0.0.1","127.0.0.1","TCP","56","12000  >  51704 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
